family,load,policy,n_runs,n_seed_blocks,mean_throughput_horizon,sd_throughput_horizon,ci95_low_throughput_horizon,ci95_high_throughput_horizon,mean_p95_wait_time,sd_p95_wait_time,ci95_low_p95_wait_time,ci95_high_p95_wait_time,mean_mean_wait_time,sd_mean_wait_time,ci95_low_mean_wait_time,ci95_high_mean_wait_time,mean_queued_at_horizon,sd_queued_at_horizon,ci95_low_queued_at_horizon,ci95_high_queued_at_horizon,mean_completion_ratio_horizon,sd_completion_ratio_horizon,ci95_low_completion_ratio_horizon,ci95_high_completion_ratio_horizon,mean_time_weighted_cpu_utilization,sd_time_weighted_cpu_utilization,ci95_low_time_weighted_cpu_utilization,ci95_high_time_weighted_cpu_utilization,mean_time_weighted_ram_utilization,sd_time_weighted_ram_utilization,ci95_low_time_weighted_ram_utilization,ci95_high_time_weighted_ram_utilization,mean_time_weighted_queue_length,sd_time_weighted_queue_length,ci95_low_time_weighted_queue_length,ci95_high_time_weighted_queue_length,mean_time_weighted_active_nodes,sd_time_weighted_active_nodes,ci95_low_time_weighted_active_nodes,ci95_high_time_weighted_active_nodes,mean_drained_throughput,sd_drained_throughput,ci95_low_drained_throughput,ci95_high_drained_throughput
cpu_heavy,med,tetris,20,10,11.924000000,0.342286430,11.679143039,12.168856961,5.082463169,2.494817959,3.297777913,6.867148426,1.074203310,0.517838809,0.703763742,1.444642878,33.350000000,22.325931609,17.378990641,49.321009359,0.763937663,0.024087722,0.746706345,0.781168981,0.849315789,0.016387147,0.837593130,0.861038448,0.177842953,0.008922630,0.171460088,0.184225818,15.433052320,7.056694136,10.384997436,20.481107203,29.149060882,0.110650661,29.069906168,29.228215597,11.984387907,0.328325805,11.749517775,12.219258040
drift,high,binpack,20,10,15.149000000,0.501607416,14.790171671,15.507828329,21.794335108,1.503753173,20.718614891,22.870055325,12.057061192,0.935554942,11.387805504,12.726316881,479.300000000,45.439948161,446.794219277,511.805780723,0.507924267,0.017595595,0.495337136,0.520511397,0.930148390,0.004604716,0.926854374,0.933442405,0.296511721,0.024219823,0.279185903,0.313837538,269.855204421,21.270764976,254.639015800,285.071393041,28.571399342,0.118326500,28.486753663,28.656045021,18.080523812,0.367312136,17.817764538,18.343283085
drift,high,hybrid,20,10,15.796000000,0.479471932,15.453006442,16.138993558,21.860757970,1.517033427,20.775537632,22.945978309,11.180487750,1.000933697,10.464462917,11.896512582,448.650000000,48.475108160,413.972996611,483.327003389,0.529695220,0.020408922,0.515095557,0.544294884,0.928973768,0.004560591,0.925711317,0.932236219,0.323463249,0.019931081,0.309205413,0.337721086,251.783102270,22.901321935,235.400483468,268.165721071,29.469189903,0.062603784,29.424405854,29.513973952,18.332869677,0.335904131,18.092578337,18.573161017
drift,high,spread,20,10,15.583000000,0.482862990,15.237580626,15.928419374,21.741559566,1.447961810,20.705750085,22.777369046,11.448334866,0.960611743,10.761154622,12.135515111,460.200000000,45.864050313,427.390834874,493.009165126,0.522538204,0.018520821,0.509289207,0.535787201,0.929477972,0.004549646,0.926223351,0.932732593,0.315964660,0.024535285,0.298413174,0.333516145,257.637399840,22.578886594,241.485437386,273.789362293,29.688385090,0.052976547,29.650487951,29.726282229,18.282349031,0.352100834,18.030471267,18.534226794
drift,high,tetris,20,10,15.959000000,0.481904785,15.614266084,16.303733916,21.964724556,1.641384458,20.790548848,23.138900264,11.020583125,1.002404582,10.303506085,11.737660166,438.900000000,49.080885621,403.789649521,474.010350479,0.535140156,0.020581787,0.520416832,0.549863479,0.927747202,0.004523650,0.924511177,0.930983226,0.329630832,0.024492505,0.312109949,0.347151715,249.203823448,23.511521634,232.384694078,266.022952818,29.554817356,0.048861825,29.519863712,29.589771000,18.411395057,0.371120651,18.145911336,18.676878778
drift,low,binpack,20,10,12.871000000,0.454983516,12.545524400,13.196475600,1.885220645,1.074529833,1.116548308,2.653892982,0.291225607,0.141962684,0.189671621,0.392779594,0.000000000,0.000000000,0.000000000,0.000000000,0.795718051,0.015359564,0.784730480,0.806705621,0.667257994,0.025246589,0.649197672,0.685318316,0.349713815,0.015724133,0.338465448,0.360962182,4.757693580,2.415243795,3.029932252,6.485454909,25.027388785,0.412901529,24.732016825,25.322760745,13.163779968,0.488437212,12.814373036,13.513186901
drift,low,hybrid,20,10,12.871000000,0.454983516,12.545524400,13.196475600,2.290315423,1.313355708,1.350797347,3.229833498,0.346530007,0.150098238,0.239156196,0.453903818,0.000000000,0.000000000,0.000000000,0.000000000,0.795718051,0.015359564,0.784730480,0.806705621,0.667257994,0.025246589,0.649197672,0.685318316,0.349713815,0.015724133,0.338465448,0.360962182,5.655994392,2.555879919,3.827628041,7.484360743,28.095325335,0.346875134,27.847185812,28.343464857,13.163779968,0.488437212,12.814373036,13.513186901
drift,low,spread,20,10,12.871000000,0.454983516,12.545524400,13.196475600,2.082654000,1.212728579,1.215120236,2.950187764,0.312940373,0.141764308,0.211528297,0.414352449,0.000000000,0.000000000,0.000000000,0.000000000,0.795718051,0.015359564,0.784730480,0.806705621,0.667257994,0.025246589,0.649197672,0.685318316,0.349713815,0.015724133,0.338465448,0.360962182,5.107887777,2.415708862,3.379793760,6.835981795,29.425192597,0.102890086,29.351589464,29.498795731,13.163779968,0.488437212,12.814373036,13.513186901
drift,low,tetris,20,10,12.871000000,0.454983516,12.545524400,13.196475600,2.333963474,1.378730768,1.347678898,3.320248050,0.351893504,0.149861656,0.244688933,0.459098074,0.000000000,0.000000000,0.000000000,0.000000000,0.795718051,0.015359564,0.784730480,0.806705621,0.667257994,0.025246589,0.649197672,0.685318316,0.349713815,0.015724133,0.338465448,0.360962182,5.736518732,2.530744712,3.926133025,7.546904439,28.874820059,0.238197969,28.704423497,29.045216621,13.163779968,0.488437212,12.814373036,13.513186901
drift,med,binpack,20,10,15.435000000,0.525362309,15.059178444,15.810821556,10.546708394,1.661055351,9.358460978,11.734955810,4.720509581,0.937023953,4.050203025,5.390816137,114.950000000,44.397478657,83.189957036,146.710042964,0.670683958,0.036650805,0.644465551,0.696902364,0.881271137,0.010257056,0.873933681,0.888608592,0.386369648,0.025396621,0.368202000,0.404537296,102.308505258,20.858322463,87.387360237,117.229650279,28.151057885,0.143967260,28.048069911,28.254045859,17.183614313,0.283492106,16.980816277,17.386412348
