family,cluster,load,policy,n,mean_delta,ci95_low,ci95_high,wins,losses
bimodal,hetero,med,spread,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,med,tetris,10,0.00000,0.00000,0.00000,0,0
bimodal,hetero,med,wmatch,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,high,balance,10,0.00672,-0.00083,0.01426,7,3
bimodal,homog,high,d1_cheap,10,0.02451,0.01814,0.03087,10,0
bimodal,homog,high,d1_cheap_nomad_ff,10,0.00079,-0.00100,0.00258,1,0
bimodal,homog,high,d2_capacity,10,0.02372,0.01572,0.03171,10,0
bimodal,homog,high,d2_capacity_nomad_ff,10,0.00079,-0.00100,0.00258,1,0
bimodal,homog,high,ff_only_cheap,10,0.00079,-0.00100,0.00258,1,0
bimodal,homog,high,hybrid,10,0.02964,0.02322,0.03607,10,0
bimodal,homog,high,spread,10,-0.02134,-0.03151,-0.01118,0,9
bimodal,homog,high,tetris,10,0.02688,0.01913,0.03463,10,0
bimodal,homog,high,wmatch,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,balance,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,hybrid,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,spread,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,tetris,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,low,wmatch,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,balance,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,hybrid,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,spread,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,tetris,10,0.00000,0.00000,0.00000,0,0
bimodal,homog,med,wmatch,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,high,balance,10,0.00821,0.00156,0.01487,7,1
cpu_heavy,hetero,high,d1_cheap,10,0.00584,-0.00229,0.01396,6,3
cpu_heavy,hetero,high,d1_cheap_nomad_ff,10,0.00473,-0.00145,0.01092,5,2
cpu_heavy,hetero,high,d2_capacity,10,0.00480,-0.00764,0.01723,6,4
cpu_heavy,hetero,high,d2_capacity_nomad_ff,10,0.00057,-0.00359,0.00473,2,1
cpu_heavy,hetero,high,ff_only_cheap,10,0.00473,-0.00145,0.01092,5,2
cpu_heavy,hetero,high,hybrid,10,-0.00048,-0.00912,0.00816,5,4
cpu_heavy,hetero,high,spread,10,0.00181,-0.00969,0.01332,5,5
cpu_heavy,hetero,high,tetris,10,0.00135,-0.00854,0.01124,5,4
cpu_heavy,hetero,high,wmatch,10,-0.00061,-0.00297,0.00175,1,2
cpu_heavy,hetero,low,balance,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,low,hybrid,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,low,spread,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,low,tetris,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,low,wmatch,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,balance,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,hybrid,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,spread,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,tetris,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,hetero,med,wmatch,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,high,balance,10,0.00585,-0.00361,0.01530,6,3
cpu_heavy,homog,high,d1_cheap,10,-0.00585,-0.01444,0.00275,2,6
cpu_heavy,homog,high,d1_cheap_nomad_ff,10,0.00351,-0.00247,0.00949,5,3
cpu_heavy,homog,high,d2_capacity,10,-0.01170,-0.02319,-0.00020,2,7
cpu_heavy,homog,high,d2_capacity_nomad_ff,10,0.00058,-0.00308,0.00425,2,2
cpu_heavy,homog,high,ff_only_cheap,10,0.00351,-0.00247,0.00949,5,3
cpu_heavy,homog,high,hybrid,10,-0.01053,-0.01930,-0.00175,1,7
cpu_heavy,homog,high,spread,10,-0.00409,-0.01472,0.00653,3,7
cpu_heavy,homog,high,tetris,10,-0.01520,-0.02817,-0.00224,1,8
cpu_heavy,homog,high,wmatch,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,balance,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,hybrid,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,spread,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,tetris,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,low,wmatch,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,balance,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,hybrid,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,spread,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,tetris,10,0.00000,0.00000,0.00000,0,0
cpu_heavy,homog,med,wmatch,10,0.00000,0.00000,0.00000,0,0
drift,hetero,high,balance,10,0.08919,0.07289,0.10549,10,0
drift,hetero,high,d1_cheap,10,0.09754,0.07562,0.11946,10,0
drift,hetero,high,d1_cheap_nomad_ff,10,0.00921,0.00108,0.01734,8,1
drift,hetero,high,d2_capacity,10,0.10070,0.07908,0.12231,10,0
drift,hetero,high,d2_capacity_nomad_ff,10,0.01141,-0.00223,0.02504,6,3
drift,hetero,high,ff_only_cheap,10,0.00921,0.00108,0.01734,8,1
drift,hetero,high,hybrid,10,0.09439,0.07355,0.11523,10,0
drift,hetero,high,spread,10,0.06275,0.04672,0.07878,10,0
drift,hetero,high,tetris,10,0.10151,0.08372,0.11930,10,0
drift,hetero,high,wmatch,10,0.00174,-0.00790,0.01137,4,2
drift,hetero,low,balance,10,0.00000,0.00000,0.00000,0,0
drift,hetero,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
drift,hetero,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
drift,hetero,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
drift,hetero,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
drift,hetero,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
drift,hetero,low,hybrid,10,0.00000,0.00000,0.00000,0,0
drift,hetero,low,spread,10,0.00000,0.00000,0.00000,0,0
drift,hetero,low,tetris,10,0.00000,0.00000,0.00000,0,0
drift,hetero,low,wmatch,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,balance,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,hybrid,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,spread,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,tetris,10,0.00000,0.00000,0.00000,0,0
drift,hetero,med,wmatch,10,0.00000,0.00000,0.00000,0,0
drift,homog,high,balance,10,0.09802,0.08920,0.10684,10,0
drift,homog,high,d1_cheap,10,0.11383,0.10511,0.12255,10,0
drift,homog,high,d1_cheap_nomad_ff,10,0.01028,0.00400,0.01656,8,1
drift,homog,high,d2_capacity,10,0.11660,0.10927,0.12393,10,0
drift,homog,high,d2_capacity_nomad_ff,10,0.00356,-0.00185,0.00896,5,2
drift,homog,high,ff_only_cheap,10,0.01028,0.00400,0.01656,8,1
drift,homog,high,hybrid,10,0.10909,0.10214,0.11604,10,0
drift,homog,high,spread,10,0.09170,0.08373,0.09967,10,0
drift,homog,high,tetris,10,0.11858,0.10651,0.13065,10,0
drift,homog,high,wmatch,10,0.00079,-0.00242,0.00400,2,2
drift,homog,low,balance,10,0.00000,0.00000,0.00000,0,0
drift,homog,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
drift,homog,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
drift,homog,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
drift,homog,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
drift,homog,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
drift,homog,low,hybrid,10,0.00000,0.00000,0.00000,0,0
drift,homog,low,spread,10,0.00000,0.00000,0.00000,0,0
drift,homog,low,tetris,10,0.00000,0.00000,0.00000,0,0
drift,homog,low,wmatch,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,balance,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,hybrid,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,spread,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,tetris,10,0.00000,0.00000,0.00000,0,0
drift,homog,med,wmatch,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,high,balance,10,0.01001,0.00600,0.01401,9,0
pred_error,hetero,high,d1_cheap,10,0.00683,-0.00137,0.01503,6,1
pred_error,hetero,high,d1_cheap_nomad_ff,10,0.00002,-0.00265,0.00268,2,2
pred_error,hetero,high,d2_capacity,10,0.00241,-0.00442,0.00924,5,3
pred_error,hetero,high,d2_capacity_nomad_ff,10,-0.00048,-0.00346,0.00250,2,3
pred_error,hetero,high,ff_only_cheap,10,0.00002,-0.00265,0.00268,2,2
